Column2,Column1,Answer_ID,QID,Answer_Arabic,Mark1,Mark1_ceil,Mark2,Mark2_ceil,Average_Mark,Median,mark_floor,mark_ceil,Question_ID,Question_Type,Question_Arabic,Model_Arabic
103,2014,19,5.3,"لفيروسات تقوم بإعادة نسخ نفسها عند إقترانها ببرنامج ، يختلف الدود عنها في كونه يبحث عن ثغرات في نظام التشغيل ليقوم بشن هجوم .",4,4,5,5,4.5,4,4,5,3,5,ما الفرق بين الدود والفيروسات؟,الدود و الفيروسات برامج ماكرة هدفها تخريبي تختلف في طريقة العمل أو الهجوم فبينما يكرر الفيروس نفسه باقترانه ببرامج أخرى تستغل الدودة فجوات في نظام التشغيل للقيام بهجوم مباشر        
106,2017,22,5.3,الفيروسات هي برنامج يتثبت على برامج أخرى بحيث فور تحميل البرنامج يتم إطلاق الفيروس أما الدود فهي برامج تبحث عن الثغرات الأمنية في النظام بهدف القيام بهجوم مباشر .,3,3,4,4,3.5,3,3,4,3,5,ما الفرق بين الدود والفيروسات؟,الدود و الفيروسات برامج ماكرة هدفها تخريبي تختلف في طريقة العمل أو الهجوم فبينما يكرر الفيروس نفسه باقترانه ببرامج أخرى تستغل الدودة فجوات في نظام التشغيل للقيام بهجوم مباشر        
116,2027,32,5.3,الفيروسات تبدأ عملها و تنتشر باستعمال احد البرامج و أيضا تنتقل من برنامج إلى آخر أما الدود فهي تستهدف نظام تشغيل الجهاز.,3,3,2.5,3,2.75,3,2,3,3,5,ما الفرق بين الدود والفيروسات؟,الدود و الفيروسات برامج ماكرة هدفها تخريبي تختلف في طريقة العمل أو الهجوم فبينما يكرر الفيروس نفسه باقترانه ببرامج أخرى تستغل الدودة فجوات في نظام التشغيل للقيام بهجوم مباشر        
121,2032,37,5.3,الفيروسات عبارة عن برنامج هدفه إختراق و إتلاف البيانات اما الدود فهو عبارة عن إدخال دودة في النظام لتقوم بالبحث عن الثغرات الموجودة. ,1,1,1,1,1,1,1,1,3,5,ما الفرق بين الدود والفيروسات؟,الدود و الفيروسات برامج ماكرة هدفها تخريبي تختلف في طريقة العمل أو الهجوم فبينما يكرر الفيروس نفسه باقترانه ببرامج أخرى تستغل الدودة فجوات في نظام التشغيل للقيام بهجوم مباشر        
130,2041,46,5.3,"الفيروسات برامج تقترن ببرامج أخرى و تشتغل باشتغال هذه الأخيرة و تقوم بنسخ نفسها باقترانها مع برامج أخرى ، أما الدود فهو يستغل حدوث أمرها في النظام لينفذ هجوما مباشرا ضدها و هي النقطة المضافة إليه بالنسبة للفيروس.",2.5,3,4.5,5,3.5,4,3,4,3,5,ما الفرق بين الدود والفيروسات؟,الدود و الفيروسات برامج ماكرة هدفها تخريبي تختلف في طريقة العمل أو الهجوم فبينما يكرر الفيروس نفسه باقترانه ببرامج أخرى تستغل الدودة فجوات في نظام التشغيل للقيام بهجوم مباشر        
149,2060,15,5.4,"القرصنة هو عمل غير قانوني و غير شرعي أما إختبار الإختراق هو عمل قانوني و شرعي , القرصنة لا يبلغ صاحب المؤسسة ( الضحية ) و لا يكون واعي عكس إختبار الأخلاق الذي يكون الضحية راضي على الإختبار و عالم به.",4,4,3.5,4,3.75,4,3,4,4,5,ما الفرق بين القرصنة واختبار الاختراق؟,القرصنة هي جريمة اختراق وسرقة معلومات يقوم بها قراصنة القبعات السوداء دون اذن لاغراض تخريبية أما اختبار الاختراق فيتم فيه توظيف العديد من ذوي القبعات البيضاء لاختبار أنظمة أمان أجهزة الكمبيوتر في المؤسسات مما يسمح بتحديد عيوبها وثغراتها قصد تحسين دفاعاتها
151,2062,17,5.4,القرصنة تتم دون علم صاحب النظام و دون إذنه و تلحق ضرر بالجهاز بينما اختبار الإختراق يكون بعلم صاحب الجهاز و بإذنه و يكون لمعرفة قدرات المخترقين بهدف توظيفه.,4,4,4.5,5,4.25,4,4,5,4,5,ما الفرق بين القرصنة واختبار الاختراق؟,القرصنة هي جريمة اختراق وسرقة معلومات يقوم بها قراصنة القبعات السوداء دون اذن لاغراض تخريبية أما اختبار الاختراق فيتم فيه توظيف العديد من ذوي القبعات البيضاء لاختبار أنظمة أمان أجهزة الكمبيوتر في المؤسسات مما يسمح بتحديد عيوبها وثغراتها قصد تحسين دفاعاتها
179,2090,45,5.4,"القرصنة هي عملية يجرمها القانون يقوم بها الهراكر بأهداف اجرامية قصد الاخلال بنظام الأمن و الاستيلاء على معلومات و حسابات الغير للسرقة و الاستيلاء و السيطرة على الحسابات، اختبار الاختراق هي عملية قانونية يقوم بها الهاكر بحيث يتقاضى أجر عليها و لديه تصريح في المؤسسة المعنية بهدف اكتشاف الثغرات و اغلاقها",5,5,4.5,5,4.75,5,4,5,4,5,ما الفرق بين القرصنة واختبار الاختراق؟,القرصنة هي جريمة اختراق وسرقة معلومات يقوم بها قراصنة القبعات السوداء دون اذن لاغراض تخريبية أما اختبار الاختراق فيتم فيه توظيف العديد من ذوي القبعات البيضاء لاختبار أنظمة أمان أجهزة الكمبيوتر في المؤسسات مما يسمح بتحديد عيوبها وثغراتها قصد تحسين دفاعاتها
188,2099,9,5.5,الفيروس يقترن ببرنامج آخر ويعمل عندما يعمل ذلك البرنامج؛ ثم يقوم بنسخ نفسه؛ وعادة ما يكون مصمم لتشطيب البيانات من ذاكرة الحاسوب. أما برنامج الإنزال فهو مصمم لكي يغير على برنامج مكافحة الفيروسات عند طريق اِستعمال التشفير وهدفه هو اِدخال الفيروسات على الجهاز.,4,4,4,4,4,4,4,4,5,5,ما الفرق بين الفيروس و برنامج الإنزال ؟,الفيروس و برنامج الإنزال برامج ماكرة هدفها تخريبي تختلف في طريقة العمل أو الهجوم فبينما يكرر الفيروس نفسه باقترانه ببرامج أخرى يقوم برنامج الإنزال بمراوغة برامج مكافحة الفيروسات بنقل وتركيب الفيروسات المحمولة في طياته
202,2113,23,5.5,الفيروس هو برنامج مضر يقترن ببرنامج أخر لنسخ نفسه و يعمل عند عمل برنامج أما برنامج الإنزال فليس ببرنامج مضر و لا يعتد على برنامج آخر للعمل يستخدم بحصر أشخاص للوصول إلى مواقع و حجبها ,0.5,1,1.5,2,1,1,1,1,5,5,ما الفرق بين الفيروس و برنامج الإنزال ؟,الفيروس و برنامج الإنزال برامج ماكرة هدفها تخريبي تختلف في طريقة العمل أو الهجوم فبينما يكرر الفيروس نفسه باقترانه ببرامج أخرى يقوم برنامج الإنزال بمراوغة برامج مكافحة الفيروسات بنقل وتركيب الفيروسات المحمولة في طياته
210,2121,31,5.5,الفيروس هو برنامج مصمم لأداء مهام معينة كتخريب الأجهزة و نقل المعلومات حيث يعتمد على الإختباء خلف البرامج الأخرى. أما برنامج الإنزال فهو المسؤول عن حماية و إخفاء الفيروسات ,2,2,2,2,2,2,2,2,5,5,ما الفرق بين الفيروس و برنامج الإنزال ؟,الفيروس و برنامج الإنزال برامج ماكرة هدفها تخريبي تختلف في طريقة العمل أو الهجوم فبينما يكرر الفيروس نفسه باقترانه ببرامج أخرى يقوم برنامج الإنزال بمراوغة برامج مكافحة الفيروسات بنقل وتركيب الفيروسات المحمولة في طياته
221,2132,42,5.5,الفيروسات صممت لتعمل عن طريق ارتباطها ببرنامج اخر فتعمل عند عمل هدا البرنامج بينما برنامج الانزال صمم لتجاوز مضاد الفيروسات فهي تستخدم التشفير,4.5,5,3.5,4,4,4,4,4,5,5,ما الفرق بين الفيروس و برنامج الإنزال ؟,الفيروس و برنامج الإنزال برامج ماكرة هدفها تخريبي تختلف في طريقة العمل أو الهجوم فبينما يكرر الفيروس نفسه باقترانه ببرامج أخرى يقوم برنامج الإنزال بمراوغة برامج مكافحة الفيروسات بنقل وتركيب الفيروسات المحمولة في طياته
15,1926,16,5.1,"قراصنة القبعة البيضاء يسخرون قدراتهم في إصلاح الدفاعات الأمنية و سد الثغرات ، قراصنة القبعة السوداء يسخرون قدراتهم و تقنياتهم لسرقة أو إزالة أو إتلاف المعلومات بعد اختراق النظام.",4,4,4.5,5,4.25,4,4,5,1,5,ما الفرق بين عمل قراصنة القبعات البيضاء و عمل قراصنة القبعات السوداء؟,"للاثنين القدرة على اختراق أنظمة التشغيل والبرامج والشبكات ولكن الكراكر(قرصان  ""القبعة السوداء"") عمله تخريبي ولا ينفع سوى نفسه أو من يدفع له أما الهاكر (قرصان ""القبعة البيضاء"") فعمله مفيد و ينفع الآخرين "
25,1936,26,5.1,كلاهما قادران على خرق الأنظمة او البرنامج أو الشبكات لكن ذو القبعة السوداء هدفهم غير اخلاقي تخريبي يرتكبها من أجل المال واهداف شخصية بعكس ذو القبعة البيضاء هدفه نبيل اخلاقي يقوم به لصالح الغير ومعالجة الانظمة,5,5,4.5,5,4.75,5,4,5,1,5,ما الفرق بين عمل قراصنة القبعات البيضاء و عمل قراصنة القبعات السوداء؟,"للاثنين القدرة على اختراق أنظمة التشغيل والبرامج والشبكات ولكن الكراكر(قرصان  ""القبعة السوداء"") عمله تخريبي ولا ينفع سوى نفسه أو من يدفع له أما الهاكر (قرصان ""القبعة البيضاء"") فعمله مفيد و ينفع الآخرين "
45,1956,46,5.1,عمل قراصنة القبعات البيضاء سلمي يهدف الى المساعدة في اكتشاف عيوب البرامج الانظمة للتحسين منها اما قراصنة القبعات السوداء فيكون لتحقيق مكسب اما شخصي او لطرف اخر مقابل عائد مادي مثل الاختراق لسرقة المعلومات او تخريبها,4,4,4.5,5,4.25,4,4,5,1,5,ما الفرق بين عمل قراصنة القبعات البيضاء و عمل قراصنة القبعات السوداء؟,"للاثنين القدرة على اختراق أنظمة التشغيل والبرامج والشبكات ولكن الكراكر(قرصان  ""القبعة السوداء"") عمله تخريبي ولا ينفع سوى نفسه أو من يدفع له أما الهاكر (قرصان ""القبعة البيضاء"") فعمله مفيد و ينفع الآخرين "
9,1920,10,5.1,"عمل القراصنة القبعات البيضاء هو اختراق الانظمة بإذن صاحب النظام من اجل اكتشاف الثغرات من اجل تطوير النظام (عمل خير)، عمل قراصنة القبعات السوداء هو تخريبي (شرير) يقومون باختراق الانظمة من اجل تخريبها، سرقة المعلومات او تدمير النظام كليا.",5,5,5,5,5,5,5,5,1,5,ما الفرق بين عمل قراصنة القبعات البيضاء و عمل قراصنة القبعات السوداء؟,"للاثنين القدرة على اختراق أنظمة التشغيل والبرامج والشبكات ولكن الكراكر(قرصان  ""القبعة السوداء"") عمله تخريبي ولا ينفع سوى نفسه أو من يدفع له أما الهاكر (قرصان ""القبعة البيضاء"") فعمله مفيد و ينفع الآخرين "
18,1929,19,5.1,"قراصنة القبعات البيضاء (الهاكر) : هم المخترقون و لكن بصفة أخلاقية لهدف الحصول على كيفية و عمل نظام معلوماتي ما ، قراصنة القبعات السوداء ( الكراكر ) : هم المخترقون و لكن بصفة لا أخلاقية يعني بهدف السيطرة على النظام و تشويشه و سرقة المعلومات.",4,4,4,4,4,4,4,4,1,5,ما الفرق بين عمل قراصنة القبعات البيضاء و عمل قراصنة القبعات السوداء؟,"للاثنين القدرة على اختراق أنظمة التشغيل والبرامج والشبكات ولكن الكراكر(قرصان  ""القبعة السوداء"") عمله تخريبي ولا ينفع سوى نفسه أو من يدفع له أما الهاكر (قرصان ""القبعة البيضاء"") فعمله مفيد و ينفع الآخرين "
30,1941,31,5.1,القراصنة القبعات البيضاء يتم توظيفهم من قبل المؤسسات لاكتشاف الثغرات الموجودة في الانظمة ثم يتم الدفع لهم بينما عمل القراصنة القبعات السوداء يكمن في اختراق الحسابات و البنوك و الانظمة لهدف غير اخلاقي او من اجل مصلحة شخصية ,4.5,5,2.5,3,3.5,4,3,4,1,5,ما الفرق بين عمل قراصنة القبعات البيضاء و عمل قراصنة القبعات السوداء؟,"للاثنين القدرة على اختراق أنظمة التشغيل والبرامج والشبكات ولكن الكراكر(قرصان  ""القبعة السوداء"") عمله تخريبي ولا ينفع سوى نفسه أو من يدفع له أما الهاكر (قرصان ""القبعة البيضاء"") فعمله مفيد و ينفع الآخرين "
16,1927,17,5.1,"القبعات السوداء أشرار يعملون من أجل التخريب و تكسير أنظمة الأمان و سرقة المعلومات و قرصنتهم لا قانونية ، بينما القبعات البيضاء يؤمنون بالعمل التطوعي يعملون بطريقة قانونية تسمح للمؤسسات بتصليح نظام دفاعها.",4.5,5,5,5,4.75,5,4,5,1,5,ما الفرق بين عمل قراصنة القبعات البيضاء و عمل قراصنة القبعات السوداء؟,"للاثنين القدرة على اختراق أنظمة التشغيل والبرامج والشبكات ولكن الكراكر(قرصان  ""القبعة السوداء"") عمله تخريبي ولا ينفع سوى نفسه أو من يدفع له أما الهاكر (قرصان ""القبعة البيضاء"") فعمله مفيد و ينفع الآخرين "
38,1949,39,5.1,عمل قراصنة القبعات البيضاء نواياهم حسنة في مساعدة المؤسسة لضمان امن المؤسسة اما هدف القبعة السوداء نواياهم سيئة يريدون تشويه الصورة وهم الكراكر الذين يريدون اتلاف البيانات  ,4,4,4,4,4,4,4,4,1,5,ما الفرق بين عمل قراصنة القبعات البيضاء و عمل قراصنة القبعات السوداء؟,"للاثنين القدرة على اختراق أنظمة التشغيل والبرامج والشبكات ولكن الكراكر(قرصان  ""القبعة السوداء"") عمله تخريبي ولا ينفع سوى نفسه أو من يدفع له أما الهاكر (قرصان ""القبعة البيضاء"") فعمله مفيد و ينفع الآخرين "
24,1935,25,5.1,"قراصنة القبعات البيضاء يقومون بأعمال اخلاقية لا تهدف لمصلحتهم الشخصية و اعمالهم تساعد عل تقوية انظمة المؤسسات، قراصنة القبعات السوداء يعملون لصالحهم الشخصي اعمال غير اخلاقية",3.5,4,4,4,3.75,4,3,4,1,5,ما الفرق بين عمل قراصنة القبعات البيضاء و عمل قراصنة القبعات السوداء؟,"للاثنين القدرة على اختراق أنظمة التشغيل والبرامج والشبكات ولكن الكراكر(قرصان  ""القبعة السوداء"") عمله تخريبي ولا ينفع سوى نفسه أو من يدفع له أما الهاكر (قرصان ""القبعة البيضاء"") فعمله مفيد و ينفع الآخرين "
29,1940,30,5.1,"قراصنة القبعات السوداء يستعمل خبراته في الاعمال الشريرة و اللاأخلاقية لمصلحته فقط او لمصلحة مادية ويقوم بالاختراق من اجل سرقة او تدمير المعلومات او حتى القضاء على النظام، في حين ان قراصنة القبعات البيضاء يستعمل ذكاءه بطريقة اخلاقية حيث تعمل على ايجاد الثغرات ومحاولة اصلاحها وهو يؤمن بالعمل التطوعي",5,5,5,5,5,5,5,5,1,5,ما الفرق بين عمل قراصنة القبعات البيضاء و عمل قراصنة القبعات السوداء؟,"للاثنين القدرة على اختراق أنظمة التشغيل والبرامج والشبكات ولكن الكراكر(قرصان  ""القبعة السوداء"") عمله تخريبي ولا ينفع سوى نفسه أو من يدفع له أما الهاكر (قرصان ""القبعة البيضاء"") فعمله مفيد و ينفع الآخرين "
19,1930,20,5.1,"قراصنة القبعات البيضاء يستعملون قدراتهم في أغراض مفيدة في تصحيح وسائل الدفاع توظفهم المؤسسات من أجل اختبار مدى أمن أنظمتهم ، قراصنة القبعات السوداء يستعملون قدراتهم لأغراض شريرة من سرقة أجل سرقة و تخريب المعلومات.",4,4,4.5,5,4.25,4,4,5,1,5,ما الفرق بين عمل قراصنة القبعات البيضاء و عمل قراصنة القبعات السوداء؟,"للاثنين القدرة على اختراق أنظمة التشغيل والبرامج والشبكات ولكن الكراكر(قرصان  ""القبعة السوداء"") عمله تخريبي ولا ينفع سوى نفسه أو من يدفع له أما الهاكر (قرصان ""القبعة البيضاء"") فعمله مفيد و ينفع الآخرين "
5,1916,6,5.1,كلاهما قادران على خرق الأنظمة او البرنامج أو الشبكات لكن ذو القبعة السوداء هدفهم غير اخلاقي تخريبي يرتكبها من أجل المال واهداف شخصية بعكس ذو القبعة البيضاء هدفه نبيل اخلاقي يقوم به لصالح الغير ومعالجة الانظمة,5,5,4.5,5,4.75,5,4,5,1,5,ما الفرق بين عمل قراصنة القبعات البيضاء و عمل قراصنة القبعات السوداء؟,"للاثنين القدرة على اختراق أنظمة التشغيل والبرامج والشبكات ولكن الكراكر(قرصان  ""القبعة السوداء"") عمله تخريبي ولا ينفع سوى نفسه أو من يدفع له أما الهاكر (قرصان ""القبعة البيضاء"") فعمله مفيد و ينفع الآخرين "
31,1942,32,5.1,قراصنة القبعات السوداء يسخرون قدراتهم من اجل سرقة المعلومات او اتلافها عكس قراصنة القبعات البيضاء الذين يعملون من اجل ايجاد الثغرات و تصحيحها و تطوير وسائل الدفاع ,4.5,5,5,5,4.75,5,4,5,1,5,ما الفرق بين عمل قراصنة القبعات البيضاء و عمل قراصنة القبعات السوداء؟,"للاثنين القدرة على اختراق أنظمة التشغيل والبرامج والشبكات ولكن الكراكر(قرصان  ""القبعة السوداء"") عمله تخريبي ولا ينفع سوى نفسه أو من يدفع له أما الهاكر (قرصان ""القبعة البيضاء"") فعمله مفيد و ينفع الآخرين "
12,1923,13,5.1,"قراصنة القبعة البيضاء يستخدمون قدراتهم لأغراض جيدة وقانونية بهدف التطوير ويساهمون في حل المشاكل إذ يؤمنون بالعمل التطوعي ، أما قراصنة القبعة السوداء فهم يسخرون قدراتهم لأعمال شريرة هدفهم تخريبي ويقومون بكسر أنظمة الامان أو سرقة المعلومات ",4,4,4.5,5,4.25,4,4,5,1,5,ما الفرق بين عمل قراصنة القبعات البيضاء و عمل قراصنة القبعات السوداء؟,"للاثنين القدرة على اختراق أنظمة التشغيل والبرامج والشبكات ولكن الكراكر(قرصان  ""القبعة السوداء"") عمله تخريبي ولا ينفع سوى نفسه أو من يدفع له أما الهاكر (قرصان ""القبعة البيضاء"") فعمله مفيد و ينفع الآخرين "
35,1946,36,5.1,كلاهما يقومان بانشاء برامج لسرقة البيانات و المعلومات و لكن عمل قراصنة القبعات السوداء اثار سلبية عديدة و لا يعود بالفائدة سوى على المجرم  او الدافعين له اما قراصنة القبعات البيضاء فهم يقومون بحماية وسائل الدفاع فقط ,5,5,4.5,5,4.75,5,4,5,1,5,ما الفرق بين عمل قراصنة القبعات البيضاء و عمل قراصنة القبعات السوداء؟,"للاثنين القدرة على اختراق أنظمة التشغيل والبرامج والشبكات ولكن الكراكر(قرصان  ""القبعة السوداء"") عمله تخريبي ولا ينفع سوى نفسه أو من يدفع له أما الهاكر (قرصان ""القبعة البيضاء"") فعمله مفيد و ينفع الآخرين "
28,1939,29,5.1,القبعات البيضاء اخلاقيون يقومون بإخبار الشركات بالاخطاء الأمنية على عكس القبعات السوداء لا اخلاقيون يقومون بالتخريب ونشر الثغرات وتكبيد الشركات الخسائر,4.5,5,4.5,5,4.5,5,4,5,1,5,ما الفرق بين عمل قراصنة القبعات البيضاء و عمل قراصنة القبعات السوداء؟,"للاثنين القدرة على اختراق أنظمة التشغيل والبرامج والشبكات ولكن الكراكر(قرصان  ""القبعة السوداء"") عمله تخريبي ولا ينفع سوى نفسه أو من يدفع له أما الهاكر (قرصان ""القبعة البيضاء"") فعمله مفيد و ينفع الآخرين "
42,1953,43,5.1,الفارق بين اهدافهم فهدف قراصنة القبعات السوداء هو التخريب و هدف القبعات البيضاء تجديد الانظمة و اصلاحها,3,3,4,4,3.5,3,3,4,1,5,ما الفرق بين عمل قراصنة القبعات البيضاء و عمل قراصنة القبعات السوداء؟,"للاثنين القدرة على اختراق أنظمة التشغيل والبرامج والشبكات ولكن الكراكر(قرصان  ""القبعة السوداء"") عمله تخريبي ولا ينفع سوى نفسه أو من يدفع له أما الهاكر (قرصان ""القبعة البيضاء"") فعمله مفيد و ينفع الآخرين "
41,1952,42,5.1,القبعات البيضاء لهم تصاريح بالدخول هدفهم اكتشاف الثغرات و اغلاقها لذلك هدفهم نبيل القبعات السوداء عملهم اجرا مي يعاقب عليه القانون هدفهم الاستيلاء على المعلومات و تحطيم أنظمة الامن للربح من خلال بيعها,4,4,4.5,5,4.25,4,4,5,1,5,ما الفرق بين عمل قراصنة القبعات البيضاء و عمل قراصنة القبعات السوداء؟,"للاثنين القدرة على اختراق أنظمة التشغيل والبرامج والشبكات ولكن الكراكر(قرصان  ""القبعة السوداء"") عمله تخريبي ولا ينفع سوى نفسه أو من يدفع له أما الهاكر (قرصان ""القبعة البيضاء"") فعمله مفيد و ينفع الآخرين "
26,1937,27,5.1,"يقوم قراصنة القبعات البيضاء باختبارات الاختراق لاختبار امن النظام وهدا مشروع في القانون، اما قراصنة القبعات السوداء فيقومون باستهداف الانظمة من اجل ارباح مالية تعود على الضحية باضرار مادية او معنوية ",5,5,5,5,5,5,5,5,1,5,ما الفرق بين عمل قراصنة القبعات البيضاء و عمل قراصنة القبعات السوداء؟,"للاثنين القدرة على اختراق أنظمة التشغيل والبرامج والشبكات ولكن الكراكر(قرصان  ""القبعة السوداء"") عمله تخريبي ولا ينفع سوى نفسه أو من يدفع له أما الهاكر (قرصان ""القبعة البيضاء"") فعمله مفيد و ينفع الآخرين "
